INV_ID,INV_NO,ANC_NUM,INV_CATL_NO,CATL_MODELE,MARQ,DATE_INSPECTION,CE_NO,ELEMENT,CATEGORIE,COULEUR,MATERIAU,CONDITION,INTERVENTION,EMPL_X,EMPL_Y,EMPL_Z,TERRITOIRE,STATUT,BASE,ANCRAGE,PARC,AIRE,EMPL_ID,ORDRE_AFFICHAGE,LONG,LAT
1685912,INV-1685912,SMU-263251,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-10,61,Support vélo SUV,Support vélo,,,,,299232.041,5048022.18,0,25;,Actif,NON,,,,1703685,2,-73.571338,45.572086
1685913,INV-1685913,SMU-263254,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-11,61,Support vélo SUV,Support vélo,,,,,295773.482,5043720.972,0,25;,Actif,NON,,,,1703686,2,-73.61557,45.533346
1685914,INV-1685914,SMU-263257,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-11,61,Support vélo SUV,Support vélo,,,,,296968.037,5045556.443,0,25;,Actif,NON,,,,1703687,2,-73.600305,45.549877
1685915,INV-1685915,SMU-263258,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-11,61,Support vélo SUV,Support vélo,,,,,296401.596,5044640.906,0,25;,Actif,NON,,,,1703688,2,-73.607544,45.541632
1685916,INV-1685916,SMU-263260,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-11,61,Support vélo SUV,Support vélo,,,,,297999.115,5046009.753,0,25;,Actif,NON,,,,1703689,2,-73.587106,45.553967
1685917,INV-1685917,SMU-263262,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-11,61,Support vélo SUV,Support vélo,,,,,295479.988,5043558.996,0,25;,Actif,NON,,,,1703690,2,-73.619325,45.531885
1685918,INV-1685918,SMU-263265,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-11,61,Support vélo SUV,Support vélo,,,,,296542.618,5044287.616,0,25;,Actif,NON,,,,1703691,2,-73.605732,45.538455
1685919,INV-1685919,SMU-263266,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-11,61,Support vélo SUV,Support vélo,,,,,297661.934,5045952.988,0,25;,Actif,NON,,BEAUBIEN,,1703692,2,-73.591424,45.553453
1685920,INV-1685920,SMU-263268,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-11,61,Support vélo SUV,Support vélo,,,,,297501.15,5043759.882,0,25;,Actif,NON,,"CARRIÈRES, DES",,1703693,2,-73.593451,45.533717
1685921,INV-1685921,SMU-263271,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-11,61,Support vélo SUV,Support vélo,,,,,296078.799,5043598.297,0,25;,Actif,NON,,,,1703694,2,-73.611659,45.532246
