,"INT","RUE1 / RUE2","Rire_1","Rire_2","X","Y"
185,1618,"Charon / Wellington",569,2255,"300202,696","5037703,398"
186,1633,"Jarry / Lacordaire",1141,4887,"297635,88",5049312
187,1642,"Gouin / Jacques-Bizard",996,4681,"276275,06","5038409,63"
188,1659,"Côte-Vertu / Marcel-Laurin",3621,5273,"290107,22","5041144,5"
189,1660,"Marcel-Laurin / Thimens",5273,6653,"289725,81","5041487,5"
190,1663,"Henri-Bourassa / Marcel-Laurin",1063,5273,"288584,59",5042496
191,1693,"Maurice-Duplessis / Rivière-des-Prairies",1502,1885,"300006,053","5056764,179"
192,1731,"Acadie / Salaberry",190,2051,"289514,34",5044555
193,1743,"Dickson / Souligny",723,2114,"302133,056","5047586,524"
194,2232,"Parc / Pins",1678,1775,"298695,26","5041304,3"
195,2869,"Commune de la / McGill",629,1515,"300668,927","5039874,43"
196,5229,"Pie-IX / Prieur",1738,1810,"294300,6","5049826,337"
197,5653,"Van-Horne / Wiseman",2206,6965,"295816,813","5042279,5"
198,6469,"Monk / Notre-Dame",1633,1646,"296974,6","5036300,5"
199,7201,"Henri-Bourassa / Thimens",1063,6653,"285973,68775","5040611,73125"
200,8777,"Grandes-Prairies / Viau",1005,6806,"295590,219",5050049
201,12457,"Cavendish / Poirier",3341,5911,"288290,206666667","5040627,15133333"
202,15739,"Lacordaire / Lavoisier",4887,5010,"296838,6825","5050372,964"
203,15748,"Lacordaire / Robert",4887,6113,"297229,2705","5049729,696"
204,16283,"Marcel-Laurin / Poirier",5273,5912,"289181,3285","5041973,2105"
205,16662,"90 e Avenue / Newman",7164,5602,"293931,56","5032140,5"
206,16704,"Notre-Dame / Saint-Joseph",5648,6287,"292960,75",5033458
207,17000,"32 e Avenue / Provost",7072,5978,"289729,228","5033569,1045"
208,17910,"Henri-Bourassa (int. Sud) / Pie-IX",1738,1063,"293677,6",5050669
